"","epNSCs","qNSCs","lpNSCs","gene"
"CG33543","H1","Enhancers","H1","CG33543"
"asRNA:CR43464","H1","Low_signal","H1","asRNA:CR43464"
"CG4238","Low_signal","Enhancers","Enhancers","CG4238"
"tRNA:Gln-CTG-2-5","Low_signal","Open_promoters","Enhancers","tRNA:Gln-CTG-2-5"
"CG42296","H1","H1","H1","CG42296"
"Su(dx)","Gene_body_2","Gene_body_2","Gene_body_1","Su(dx)"
"lncRNA:CR45298","Gene_body_2","Gene_body_2","Low_signal","lncRNA:CR45298"
"Kebab","Gene_body_2","Gene_body_2","Low_signal","Kebab"
"CG12674","H1","H1","Enhancers","CG12674"
"CG4259","H1","Enhancers","Low_signal","CG4259"
"GlyP","Enhancers","Open_promoters","Enhancers","GlyP"
"tho2","Gene_body_2","Gene_body_1","Gene_body_2","tho2"
"CG11723","Open_promoters","Open_promoters","Open_promoters","CG11723"
"TBCD","Gene_body_2","Gene_body_2","Gene_body_1","TBCD"
"AIF","Gene_body_2","Gene_body_1","Gene_body_2","AIF"
"CG15382","Gene_body_2","Gene_body_2","Gene_body_2","CG15382"
"aop","Enhancers","Enhancers","Enhancers","aop"
"lncRNA:CR45290","Enhancers","Enhancers","Gene_body_1","lncRNA:CR45290"
"CG10874","Open_promoters","Open_promoters","Open_promoters","CG10874"
"asRNA:CR44065","Gene_body_2","Gene_body_1","Gene_body_1","asRNA:CR44065"
"CG31668","H1","Pc","HP1","CG31668"
"CG33124","H1","Pc","H1","CG33124"
"CG15385","H1","Gene_body_1","Gene_body_1","CG15385"
"Uch","Open_promoters","HP1","Open_promoters","Uch"
"CG34174","Open_promoters","Open_promoters","Open_promoters","CG34174"
"daed","Gene_body_2","Open_promoters","Open_promoters","daed"
"CG15386","Open_promoters","Open_promoters","Open_promoters","CG15386"
"CG42371","Open_promoters","Open_promoters","Open_promoters","CG42371"
"mio","Gene_body_2","Gene_body_2","Open_promoters","mio"
"papi","Gene_body_2","Gene_body_1","Gene_body_1","papi"
"CG15387","Open_promoters","Open_promoters","Low_signal","CG15387"
"sau","Gene_body_1","Open_promoters","Gene_body_1","sau"
"asRNA:CR44114","Open_promoters","Open_promoters","Open_promoters","asRNA:CR44114"
"Sec24CD","Gene_body_1","Gene_body_2","Gene_body_1","Sec24CD"
"Tengl3","Low_signal","HP1","Enhancers","Tengl3"
"Tengl2","Low_signal","HP1","H1","Tengl2"
"Tengl1","H1","H1","Low_signal","Tengl1"
"CG4267","H1","HP1","H1","CG4267"
"lncRNA:CR42859","H1","H1","Low_signal","lncRNA:CR42859"
"Ser12","Low_signal","HP1","H1","Ser12"
"CG17239","H1","HP1","H1","CG17239"
"CG17234","H1","H1","H1","CG17234"
"Send1","H1","H1","H1","Send1"
"lncRNA:CR44787","H1","Enhancers","Enhancers","lncRNA:CR44787"
"lncRNA:CR44788","H1","Low_signal","Low_signal","lncRNA:CR44788"
"CG4270","H1","HP1","H1","CG4270"
"CG34049","H1","HP1","H1","CG34049"
"CG17242","H1","HP1","H1","CG17242"
"lncRNA:CR43754","H1","Low_signal","Low_signal","lncRNA:CR43754"
"CG4271","H1","Low_signal","Low_signal","CG4271"
"CG31681","H1","Low_signal","H1","CG31681"
"CG42658","H1","H1","H1","CG42658"
"CG17237","H1","H1","H1","CG17237"
"robl22E","H1","H1","Enhancers","robl22E"
"CG31949","Low_signal","H1","H1","CG31949"
"CG16995","Low_signal","Enhancers","H1","CG16995"
"CG9967","H1","Enhancers","Enhancers","CG9967"
"eys","H1","Enhancers","Enhancers","eys"
"Rab5","Gene_body_2","Gene_body_2","Low_signal","Rab5"
"Axud1","Open_promoters","Gene_body_2","Gene_body_2","Axud1"
"CG3597","Gene_body_2","Gene_body_1","Gene_body_1","CG3597"
"CG3609","Low_signal","HP1","Enhancers","CG3609"
"CG15390","Enhancers","Open_promoters","Enhancers","CG15390"
"asRNA:CR44982","Enhancers","Open_promoters","Enhancers","asRNA:CR44982"
"Atxn7","Gene_body_2","Gene_body_2","Gene_body_2","Atxn7"
"Eogt","Gene_body_2","Open_promoters","Gene_body_2","Eogt"
"PIG-Wa","Gene_body_1","Gene_body_1","Gene_body_1","PIG-Wa"
"CG3557","Low_signal","Pc","Pc","CG3557"
"CG43750","Enhancers","Pc","Pc","CG43750"
"CG46448","Pc","Pc","Pc","CG46448"
"VGlut","Enhancers","Pc","Pc","VGlut"
"CG18641","Enhancers","Pc","Enhancers","CG18641"
"CG31948","H1","Pc","H1","CG31948"
"CG34448","H1","H1","H1","CG34448"
"CG34447","Low_signal","H1","H1","CG34447"
"CG9886","Gene_body_2","Gene_body_1","Gene_body_1","CG9886"
"CG44139","Low_signal","H1","H1","CG44139"
"lncRNA:CR44912","Low_signal","H1","Low_signal","lncRNA:CR44912"
"dpp","H1","H1","Pc","dpp"
"tRNA:Tyr-GTA-1-2","H1","Low_signal","Pc","tRNA:Tyr-GTA-1-2"
"tRNA:Tyr-GTA-1-3","H1","H1","H1","tRNA:Tyr-GTA-1-3"
"Slh","Gene_body_1","H1","Gene_body_1","Slh"
"oaf","Open_promoters","Open_promoters","Low_signal","oaf"
"lncRNA:CR44607","H1","Low_signal","Low_signal","lncRNA:CR44607"
"CG3528","H1","H1","Enhancers","CG3528"
"asRNA:CR46069","H1","H1","Enhancers","asRNA:CR46069"
"lncRNA:CR44112","H1","Low_signal","Enhancers","lncRNA:CR44112"
"CG3515","H1","H1","Enhancers","CG3515"
"Cyp309a1","Gene_body_1","HP1","H1","Cyp309a1"
"Cyp309a2","Low_signal","Low_signal","Gene_body_1","Cyp309a2"
"Rad1","Gene_body_2","Gene_body_2","Low_signal","Rad1"
"Sws1","Gene_body_2","Gene_body_2","Low_signal","Sws1"
"insv","Open_promoters","Open_promoters","Open_promoters","insv"
"Elba2","Gene_body_2","Open_promoters","Open_promoters","Elba2"
"ND-B17.2","Gene_body_2","Open_promoters","Low_signal","ND-B17.2"
"Arpc5","Gene_body_2","Gene_body_2","Low_signal","Arpc5"
"Drp1","Gene_body_2","Gene_body_2","Gene_body_2","Drp1"
"CG15394","Low_signal","H1","H1","CG15394"
"lncRNA:CR44790","Low_signal","Enhancers","Pc","lncRNA:CR44790"
"CG15395","H1","Enhancers","H1","CG15395"
"CG43403","Enhancers","Enhancers","Enhancers","CG43403"
"lncRNA:TS11","Low_signal","Enhancers","Enhancers","lncRNA:TS11"
"lncRNA:CR46328","Low_signal","Enhancers","Enhancers","lncRNA:CR46328"
"lncRNA:TS4","Enhancers","Enhancers","Enhancers","lncRNA:TS4"
"lncRNA:CR43852","H1","Low_signal","Low_signal","lncRNA:CR43852"
"CG9962","H1","Low_signal","H1","CG9962"
"CG33125","Low_signal","H1","H1","CG33125"
"Prosbeta4R1","H1","Low_signal","Low_signal","Prosbeta4R1"
"Or23a","H1","HP1","H1","Or23a"
"Prosbeta4R2","H1","H1","H1","Prosbeta4R2"
"Trf4","H1","H1","H1","Trf4"
"CR46404","H1","H1","H1","CR46404"
"Gr23a","Low_signal","H1","H1","Gr23a"
"Trf5","H1","H1","H1","Trf5"
"CG31689","H1","Enhancers","H1","CG31689"
"mir-4914","H1","Enhancers","H1","mir-4914"
"Hrs","Gene_body_2","Gene_body_2","H1","Hrs"
"Cwc25","Open_promoters","Open_promoters","Open_promoters","Cwc25"
"Pgk","Open_promoters","Open_promoters","Enhancers","Pgk"
"Bacc","Open_promoters","Open_promoters","Enhancers","Bacc"
"lncRNA:CR44772","Enhancers","Enhancers","Enhancers","lncRNA:CR44772"
"HemK2","Open_promoters","Open_promoters","Open_promoters","HemK2"
"Snapin","Open_promoters","Open_promoters","Open_promoters","Snapin"
"Tnpo-SR","Low_signal","Gene_body_2","Low_signal","Tnpo-SR"
"Snx21","Open_promoters","Open_promoters","Open_promoters","Snx21"
"aph-1","Open_promoters","Open_promoters","Open_promoters","aph-1"
"Taf10b","Open_promoters","Open_promoters","Open_promoters","Taf10b"
"colt","Open_promoters","Open_promoters","Open_promoters","colt"
"HINT1","Open_promoters","Open_promoters","Open_promoters","HINT1"
"CG15399","Gene_body_2","Gene_body_2","Gene_body_1","CG15399"
"Syt1","Low_signal","Enhancers","Low_signal","Syt1"
"lncRNA:CR43821","Low_signal","Enhancers","Enhancers","lncRNA:CR43821"
"daw","Low_signal","H1","H1","daw"
"CG2964","Low_signal","Low_signal","Gene_body_1","CG2964"
"G6P","Low_signal","Gene_body_2","Gene_body_2","G6P"
"Duox","H1","H1","H1","Duox"
"CG3123","Low_signal","H1","H1","CG3123"
"CG3119","H1","H1","H1","CG3119"
"Cpr23B","Low_signal","H1","H1","Cpr23B"
"asRNA:CR45342","H1","Enhancers","H1","asRNA:CR45342"
"CG2975","H1","Enhancers","H1","CG2975"
"CG18558","H1","H1","H1","CG18558"
"CG18557","H1","H1","H1","CG18557"
"CG3117","H1","Low_signal","H1","CG3117"
"CG2983","H1","Enhancers","H1","CG2983"
"CG3104","H1","H1","H1","CG3104"
"RpS21","Low_signal","Open_promoters","Open_promoters","RpS21"
"CG2991","Enhancers","Enhancers","Enhancers","CG2991"
"Ifrd1","Gene_body_2","Gene_body_2","Gene_body_2","Ifrd1"
"CG8813","Gene_body_2","Gene_body_2","Gene_body_1","CG8813"
"CG8814","Gene_body_2","Open_promoters","Gene_body_1","CG8814"
"Prx6005","Gene_body_2","Gene_body_2","Open_promoters","Prx6005"
"Sbat","Low_signal","Low_signal","Open_promoters","Sbat"
"RabGGTb","Open_promoters","Low_signal","Open_promoters","RabGGTb"
"NTPase","Gene_body_1","Open_promoters","Gene_body_1","NTPase"
"lilli","Low_signal","Enhancers","Low_signal","lilli"
"Rbp9","H1","H1","H1","Rbp9"
"Ts","Open_promoters","Open_promoters","Open_promoters","Ts"
"Rrp1","Gene_body_2","Gene_body_2","Open_promoters","Rrp1"
"gammaTub23C","Gene_body_1","Open_promoters","Gene_body_1","gammaTub23C"
"CG9641","Open_promoters","Gene_body_2","Open_promoters","CG9641"
"Chd1","Gene_body_2","Gene_body_2","Gene_body_2","Chd1"
"Bem46","Gene_body_2","Low_signal","Low_signal","Bem46"
"okr","Gene_body_2","Gene_body_1","Open_promoters","okr"
"CG3558","Gene_body_2","Gene_body_2","Gene_body_2","CG3558"
"Ccdc85","Enhancers","Enhancers","Enhancers","Ccdc85"
"CG17224","Gene_body_2","Gene_body_1","Gene_body_1","CG17224"
"CG17264","Gene_body_2","H1","Gene_body_1","CG17264"
"alpha4GT1","Open_promoters","Open_promoters","Open_promoters","alpha4GT1"
"Prp40","Gene_body_2","Open_promoters","Open_promoters","Prp40"
"Sf3b2","Open_promoters","Open_promoters","Open_promoters","Sf3b2"
"CG17219","Open_promoters","Open_promoters","Open_promoters","CG17219"
"asRNA:CR44147","Open_promoters","Open_promoters","Open_promoters","asRNA:CR44147"
"GABPI","Open_promoters","Open_promoters","Open_promoters","GABPI"
"CG17258","Gene_body_1","Gene_body_1","Gene_body_1","CG17258"
"SerRS","Open_promoters","Open_promoters","Gene_body_1","SerRS"
"CG17260","Open_promoters","Open_promoters","Open_promoters","CG17260"
"cnir","Open_promoters","Open_promoters","Open_promoters","cnir"
"CG17221","Open_promoters","Open_promoters","Gene_body_1","CG17221"
"CG17261","Gene_body_1","Gene_body_1","Gene_body_1","CG17261"
"FASN2","H1","H1","H1","FASN2"
"snRNA:LU","Enhancers","Enhancers","Enhancers","snRNA:LU"
"snRNA:U5:23D","H1","Low_signal","Low_signal","snRNA:U5:23D"
"FASN1","Low_signal","Gene_body_2","Gene_body_1","FASN1"
"toc","H1","Enhancers","Low_signal","toc"
"CG15403","Low_signal","Enhancers","Low_signal","CG15403"
"ND-B14.5B","Open_promoters","Open_promoters","Open_promoters","ND-B14.5B"
"Mad","H1","Gene_body_2","Low_signal","Mad"
"gkt","Gene_body_2","Gene_body_1","Gene_body_1","gkt"
"Hydr2","Gene_body_2","Low_signal","Low_signal","Hydr2"
"tRNA:Ser-AGA-2-3","Gene_body_2","Low_signal","Low_signal","tRNA:Ser-AGA-2-3"
"CG44002","Open_promoters","Open_promoters","Open_promoters","CG44002"
"CR44003","Open_promoters","HP1","Open_promoters","CR44003"
"CG15404","H1","Low_signal","H1","CG15404"
"CG34393","H1","Enhancers","Enhancers","CG34393"
"CG3347","H1","H1","H1","CG3347"
"OtopLb","H1","H1","H1","OtopLb"
"lncRNA:CR44485","Low_signal","H1","Low_signal","lncRNA:CR44485"
"CG9664","Low_signal","Gene_body_2","Gene_body_1","CG9664"
"CG9663","H1","Gene_body_1","Gene_body_1","CG9663"
"CG3277","H1","H1","HP1","CG3277"
"CG15406","H1","Low_signal","H1","CG15406"
"Fign","Low_signal","Gene_body_1","Gene_body_2","Fign"
"CG8837","H1","Low_signal","Low_signal","CG8837"
"CG33281","H1","H1","H1","CG33281"
"CG33282","H1","Low_signal","Low_signal","CG33282"
"CG3285","H1","Low_signal","Low_signal","CG3285"
"CG15408","H1","H1","H1","CG15408"
"E23","H1","Enhancers","Enhancers","E23"
"CG8838","Gene_body_1","Gene_body_1","Gene_body_1","CG8838"
"GramD1B","Gene_body_1","Gene_body_1","Gene_body_1","GramD1B"
"CG15412","Low_signal","Gene_body_2","Low_signal","CG15412"
"CG9662","Open_promoters","Open_promoters","Low_signal","CG9662"
"Ptpa","Open_promoters","Open_promoters","Open_promoters","Ptpa"
"Pgant2","H1","Low_signal","Low_signal","Pgant2"
"CG8840","Low_signal","Enhancers","Low_signal","CG8840"
"CG31952","H1","Enhancers","H1","CG31952"
"CG2772","H1","H1","H1","CG2772"
"Snx1","Open_promoters","Open_promoters","Gene_body_2","Snx1"
"CG12795","Open_promoters","Open_promoters","Open_promoters","CG12795"
"Cog3","Open_promoters","Gene_body_1","Open_promoters","Cog3"
"Sec5","Gene_body_2","Gene_body_1","Gene_body_1","Sec5"
"CG3246","Gene_body_1","Gene_body_2","Gene_body_1","CG3246"
"msl-2","Gene_body_1","Gene_body_2","Gene_body_1","msl-2"
"mir-4971","Gene_body_2","Gene_body_2","Gene_body_1","mir-4971"
"ND-PDSW","Open_promoters","Open_promoters","Open_promoters","ND-PDSW"
"Pif1","Open_promoters","Gene_body_2","Gene_body_1","Pif1"
"CG31776","H1","HP1","Enhancers","CG31776"
"Pgant4","Low_signal","Low_signal","H1","Pgant4"
"lncRNA:CR45372","Enhancers","Enhancers","Low_signal","lncRNA:CR45372"
"lncRNA:CR43928","Enhancers","Enhancers","Pc","lncRNA:CR43928"
"Thor","Open_promoters","Open_promoters","Enhancers","Thor"
"CG15414","H1","Low_signal","H1","CG15414"
"tim","H1","H1","H1","tim"
"lncRNA:CR46495","H1","H1","Low_signal","lncRNA:CR46495"
"snoRNA:Or-CD16","H1","H1","H1","snoRNA:Or-CD16"
"lncRNA:CR45299","Gene_body_1","H1","H1","lncRNA:CR45299"
"CG31954","Gene_body_2","Gene_body_1","Gene_body_1","CG31954"
"asRNA:CR45300","Gene_body_1","H1","H1","asRNA:CR45300"
"LeuRS","Gene_body_2","Gene_body_2","Gene_body_1","LeuRS"
"CG17593","Open_promoters","Gene_body_2","Gene_body_1","CG17593"
"CG3213","Gene_body_1","Gene_body_1","Gene_body_1","CG3213"
"CG8851","Low_signal","H1","H1","CG8851"
"Sr-CIV","Gene_body_2","H1","HP1","Sr-CIV"
"CG8852","Gene_body_1","Gene_body_1","Gene_body_1","CG8852"
"Spindly","Gene_body_1","Gene_body_2","Open_promoters","Spindly"
"IFT57","Pc","Pc","Pc","IFT57"
"lncRNA:CR44308","Pc","Pc","Pc","lncRNA:CR44308"
"drm","Pc","Pc","Pc","drm"
"lncRNA:CR44309","Pc","Pc","Pc","lncRNA:CR44309"
"lncRNA:CR44747","Pc","Pc","Pc","lncRNA:CR44747"
"lncRNA:CR43822","Pc","Pc","Pc","lncRNA:CR43822"
"CG43815","Pc","Pc","Pc","CG43815"
"sob","Pc","Pc","Pc","sob"
"lncRNA:TS2","Pc","Pc","Pc","lncRNA:TS2"
"lncRNA:CR43823","Pc","Pc","Pc","lncRNA:CR43823"
"odd","Pc","Pc","Pc","odd"
"lncRNA:CR44310","Pc","Pc","Pc","lncRNA:CR44310"
"Ugt36A1","Enhancers","Enhancers","Low_signal","Ugt36A1"
"for","Enhancers","Pc","Enhancers","for"
"mir-4972","Low_signal","Low_signal","H1","mir-4972"
"Drgx","Pc","Pc","Pc","Drgx"
"Sfp24Ba","Pc","Pc","Pc","Sfp24Ba"
"Sfp24Bd","Pc","Pc","Pc","Sfp24Bd"
"Sfp24Bb","Pc","Low_signal","Pc","Sfp24Bb"
"Sfp24Bc","Pc","Low_signal","Low_signal","Sfp24Bc"
"CG16704","Pc","Pc","Pc","CG16704"
"CG3513","Pc","Pc","Pc","CG3513"
"Acp24A4","Pc","Pc","Low_signal","Acp24A4"
"CG43165","Low_signal","Pc","Low_signal","CG43165"
"CG16713","Low_signal","Pc","Low_signal","CG16713"
"IM33","Pc","Pc","Pc","IM33"
"CG42465","H1","Pc","Pc","CG42465"
"Sfp24C1","Pc","Pc","Pc","Sfp24C1"
"CG42467","Pc","Low_signal","Low_signal","CG42467"
"CG43145","H1","Low_signal","Low_signal","CG43145"
"CG2816","H1","Low_signal","Enhancers","CG2816"
"CG31778","H1","Pc","Low_signal","CG31778"
"CG31777","Low_signal","Gene_body_1","Gene_body_1","CG31777"
"cutlet","Gene_body_1","Gene_body_2","Gene_body_2","cutlet"
"CG31955","Low_signal","HP1","HP1","CG31955"
"CG2818","Gene_body_1","Open_promoters","Gene_body_1","CG2818"
"lectin-24A","Gene_body_1","Low_signal","Low_signal","lectin-24A"
"Shaw","H1","Enhancers","Gene_body_1","Shaw"
"CG43707","H1","Gene_body_1","H1","CG43707"
"CG43703","H1","Gene_body_1","Enhancers","CG43703"
"mir-1004","H1","H1","Low_signal","mir-1004"
"lncRNA:CR43704","Enhancers","Low_signal","Low_signal","lncRNA:CR43704"
"bowl","Enhancers","Enhancers","H1","bowl"
"CG31960","H1","H1","Enhancers","CG31960"
"CR31958","H1","Low_signal","Enhancers","CR31958"
"bark","H1","H1","H1","bark"
"Reph","Gene_body_1","Gene_body_1","Gene_body_2","Reph"
"CG3407","Gene_body_2","Open_promoters","Gene_body_1","CG3407"
"lncRNA:CR44076","Pc","Low_signal","Low_signal","lncRNA:CR44076"
"lncRNA:CR44077","Pc","Pc","Pc","lncRNA:CR44077"
"slp1","Pc","Pc","Pc","slp1"
"slp2","Pc","Pc","Pc","slp2"
"lncRNA:CR44983","Enhancers","Enhancers","Enhancers","lncRNA:CR44983"
"lncRNA:CR45449","Pc","Pc","Pc","lncRNA:CR45449"
"lncRNA:CR45450","Pc","Pc","Pc","lncRNA:CR45450"
"lncRNA:CR44078","Pc","Pc","Pc","lncRNA:CR44078"
"TTLL4B","Gene_body_1","Gene_body_1","Gene_body_1","TTLL4B"
"Cep97","Gene_body_2","Gene_body_2","Gene_body_1","Cep97"
"CG31957","Gene_body_2","Gene_body_2","Open_promoters","CG31957"
"fred","H1","Enhancers","Enhancers","fred"
"CG31773","H1","HP1","HP1","CG31773"
"CG34176","H1","Low_signal","H1","CG34176"
"CG15422","H1","Low_signal","Low_signal","CG15422"
"CG43773","H1","Pc","H1","CG43773"
"CG43774","H1","Low_signal","Low_signal","CG43774"
"asRNA:CR44984","HP1","Low_signal","Low_signal","asRNA:CR44984"
"Sr-CIII","Enhancers","HP1","Low_signal","Sr-CIII"
"Sr-CI","Enhancers","Low_signal","Enhancers","Sr-CI"
"CG2955","H1","H1","H1","CG2955"
"Or24a","H1","H1","H1","Or24a"
"lncRNA:CR45791","Gene_body_2","Low_signal","Low_signal","lncRNA:CR45791"
"lncRNA:CR44057","Gene_body_2","Low_signal","Low_signal","lncRNA:CR44057"
"TBCC","Gene_body_1","Open_promoters","Open_promoters","TBCC"
"lectin-24Db","H1","HP1","Gene_body_1","lectin-24Db"
"Naprt","H1","Gene_body_2","Gene_body_2","Naprt"
"ft","Gene_body_2","H1","H1","ft"
"CG3702","Open_promoters","Open_promoters","Open_promoters","CG3702"
"RpL40","Open_promoters","Open_promoters","Open_promoters","RpL40"
"lncRNA:CR44608","Gene_body_2","Open_promoters","Open_promoters","lncRNA:CR44608"
"lncRNA:CR45720","Low_signal","Low_signal","Enhancers","lncRNA:CR45720"
"lncRNA:CR44058","Low_signal","Enhancers","Enhancers","lncRNA:CR44058"
"lncRNA:CR45294","Low_signal","Enhancers","Enhancers","lncRNA:CR45294"
"lncRNA:CR45295","Low_signal","Enhancers","Enhancers","lncRNA:CR45295"
"CG15425","H1","H1","Low_signal","CG15425"
"tutl","Enhancers","Enhancers","Enhancers","tutl"
"Atet","Low_signal","Gene_body_2","Enhancers","Atet"
"mir-1005","Low_signal","Low_signal","Gene_body_2","mir-1005"
"lncRNA:CR44697","Enhancers","Enhancers","Pc","lncRNA:CR44697"
"lncRNA:CR44698","Enhancers","Low_signal","Low_signal","lncRNA:CR44698"
"lncRNA:CR44699","Enhancers","Low_signal","Low_signal","lncRNA:CR44699"
"lncRNA:CR44700","Enhancers","Enhancers","Enhancers","lncRNA:CR44700"
"CG15429","Enhancers","Pc","Pc","CG15429"
"lncRNA:CR45363","Enhancers","Enhancers","Enhancers","lncRNA:CR45363"
"Traf4","Enhancers","Enhancers","Enhancers","Traf4"
"CG17612","Open_promoters","Open_promoters","Open_promoters","CG17612"
"Vps53","Gene_body_2","Gene_body_2","Open_promoters","Vps53"
"Psf2","Open_promoters","Open_promoters","Low_signal","Psf2"
"Tps1","Gene_body_1","Gene_body_1","H1","Tps1"
"CG3652","Gene_body_2","Open_promoters","Low_signal","CG3652"
"l(2)k05819","Gene_body_1","Gene_body_2","Gene_body_2","l(2)k05819"
"CG33003","Gene_body_1","Gene_body_1","Gene_body_1","CG33003"
"Dim1","Open_promoters","Open_promoters","Low_signal","Dim1"
"CG15431","Low_signal","Enhancers","Enhancers","CG15431"
"CG34177","H1","Enhancers","H1","CG34177"
"CG34178","H1","Enhancers","H1","CG34178"
"CG15432","Open_promoters","Open_promoters","Open_promoters","CG15432"
"morgue","Open_promoters","Open_promoters","Open_promoters","morgue"
"Elp3","Gene_body_2","Gene_body_2","Open_promoters","Elp3"
"MFS18","Gene_body_2","Gene_body_2","Gene_body_1","MFS18"
"CG15439","Gene_body_2","Gene_body_2","Open_promoters","CG15439"
"Secp43","Open_promoters","Open_promoters","Open_promoters","Secp43"
"ND-B8","Low_signal","Open_promoters","Low_signal","ND-B8"
"Gs1l","Low_signal","Open_promoters","Low_signal","Gs1l"
"RpL27A","Open_promoters","Open_promoters","Open_promoters","RpL27A"
"snoRNA:Me18S-C1831","Open_promoters","Open_promoters","Open_promoters","snoRNA:Me18S-C1831"
"mRpL27","Open_promoters","Open_promoters","Open_promoters","mRpL27"
"CG15435","Gene_body_1","Gene_body_2","Gene_body_2","CG15435"
"CG15443","Gene_body_1","Gene_body_2","Gene_body_1","CG15443"
"Paris","Gene_body_2","Open_promoters","Open_promoters","Paris"
"FIG4","Gene_body_2","Open_promoters","Gene_body_1","FIG4"
"ine","H1","H1","H1","ine"
"dpy","H1","H1","H1","dpy"
"HP6","H1","H1","H1","HP6"
"lncRNA:CR44609","H1","H1","H1","lncRNA:CR44609"
"lncRNA:CR45452","H1","Low_signal","Low_signal","lncRNA:CR45452"
"CG15635","Low_signal","H1","Low_signal","CG15635"
"CG43798","H1","Low_signal","Low_signal","CG43798"
"CG3355","H1","H1","H1","CG3355"
"lncRNA:TS6","H1","Low_signal","Low_signal","lncRNA:TS6"
"CG11929","H1","H1","H1","CG11929"
"Elba1","H1","H1","H1","Elba1"
"Elba3","H1","Enhancers","Low_signal","Elba3"
"CG3251","H1","H1","H1","CG3251"
"dcma","H1","Enhancers","Enhancers","dcma"
"Taf12L","H1","Enhancers","Enhancers","Taf12L"
"CG15631","H1","H1","H1","CG15631"
"fipi","H1","H1","Enhancers","fipi"
"CG42523","Enhancers","H1","H1","CG42523"
"CG3294","Gene_body_1","Gene_body_1","Gene_body_1","CG3294"
"slf","Enhancers","Low_signal","Low_signal","slf"
"lncRNA:CR45297","Low_signal","Low_signal","Pc","lncRNA:CR45297"
"CG15629","Gene_body_1","Gene_body_2","Gene_body_1","CG15629"
"CG3225","Gene_body_1","Gene_body_2","Gene_body_2","CG3225"
"mir-4910","Low_signal","Low_signal","Open_promoters","mir-4910"
"CG15628","Gene_body_1","Gene_body_1","Gene_body_1","CG15628"
"Fnta","Open_promoters","Open_promoters","Open_promoters","Fnta"
"mir-4912","Open_promoters","Open_promoters","Open_promoters","mir-4912"
"Ir25a","Gene_body_1","H1","Gene_body_1","Ir25a"
"tank","Gene_body_2","Gene_body_2","Gene_body_2","tank"
"CG12194","Gene_body_2","Open_promoters","Open_promoters","CG12194"
"mxt","Gene_body_2","Gene_body_2","Low_signal","mxt"
"CG11927","Open_promoters","Open_promoters","Open_promoters","CG11927"
"mRpS2","Open_promoters","Open_promoters","Open_promoters","mRpS2"
"Mon1","Gene_body_2","Low_signal","Open_promoters","Mon1"
"smog","H1","Enhancers","Enhancers","smog"
"Cf2","Gene_body_2","Gene_body_2","Open_promoters","Cf2"
"CG3008","Open_promoters","Gene_body_2","Gene_body_1","CG3008"
"CG15625","Low_signal","HP1","H1","CG15625"
"CR45716","Enhancers","Low_signal","Low_signal","CR45716"
"CG3036","H1","Low_signal","H1","CG3036"
"snsl","H1","Enhancers","Enhancers","snsl"
"hoe2","H1","Low_signal","H1","hoe2"
"Sgs1","HP1","HP1","HP1","Sgs1"
"CG14044","Gene_body_2","Gene_body_2","Gene_body_2","CG14044"
"mRpL24","Open_promoters","Open_promoters","Open_promoters","mRpL24"
"betaggt-I","Gene_body_1","Open_promoters","Gene_body_2","betaggt-I"
"jet","Open_promoters","Open_promoters","Open_promoters","jet"
"Jon25Bii","Low_signal","H1","H1","Jon25Bii"
"Jon25Bi","Low_signal","Low_signal","H1","Jon25Bi"
"Marcal1","Gene_body_1","Gene_body_1","Gene_body_1","Marcal1"
"CG34124","Gene_body_2","Gene_body_1","Gene_body_1","CG34124"
"asRNA:CR43824","Gene_body_2","Gene_body_2","Gene_body_1","asRNA:CR43824"
"CG34125","Gene_body_2","Open_promoters","Open_promoters","CG34125"
"eIF3i","Open_promoters","Open_promoters","Open_promoters","eIF3i"
"Scox","Open_promoters","Open_promoters","Open_promoters","Scox"
"Polr1C","Open_promoters","Gene_body_2","Open_promoters","Polr1C"
"l(2)05714","Open_promoters","Open_promoters","Open_promoters","l(2)05714"
"CG14043","Open_promoters","Open_promoters","Open_promoters","CG14043"
"mRpL28","Low_signal","Gene_body_2","Open_promoters","mRpL28"
"Gmd","Open_promoters","Open_promoters","Open_promoters","Gmd"
"CG3792","Open_promoters","Open_promoters","Open_promoters","CG3792"
"CG8891","Gene_body_2","Open_promoters","Open_promoters","CG8891"
"CG8892","Open_promoters","Open_promoters","Open_promoters","CG8892"
"CG34126","Gene_body_2","Gene_body_2","Gene_body_1","CG34126"
"Rtnl1","Low_signal","Open_promoters","Enhancers","Rtnl1"
"CG31917","Open_promoters","Open_promoters","Open_promoters","CG31917"
"Tfb5","Open_promoters","Open_promoters","Open_promoters","Tfb5"
"SelT","Open_promoters","Open_promoters","Open_promoters","SelT"
"vkg","H1","H1","H1","vkg"
"Col4a1","Low_signal","Enhancers","H1","Col4a1"
"CG14042","Open_promoters","Open_promoters","Open_promoters","CG14042"
"SP555","Open_promoters","Open_promoters","Open_promoters","SP555"
"CG31650","Gene_body_2","Gene_body_2","Gene_body_2","CG31650"
"CG33995","Gene_body_1","Gene_body_1","Gene_body_2","CG33995"
"CG44000","Gene_body_1","Gene_body_1","Gene_body_2","CG44000"
"CG44001","Gene_body_1","Gene_body_1","Gene_body_2","CG44001"
"CG9121","Gene_body_2","Gene_body_2","Gene_body_2","CG9121"
